Player,College,State,AV
Ted Karras,Northwestern Oklahoma State University,IL,51.67
Rashaan Melvin,Northern Illinois University,IL,49.60
Geronimo Allison,Eastern Illinois University,IL,48.00
Tavon Wilson,Eastern Illinois University,IL,47.86
Cameron Meredith,,IL,47.67
Jimmie Ward,Northern Illinois University,IL,46.40
Clayton Fejedelem,Eastern Illinois University,IL,46.33
Jihad Ward,Eastern Illinois University,IL,45.67
Kamu Grugier-Hill,,IL,45.67
Chase Allen,Southern Illinois University Carbondale,IL,45.50
Kelvin Hayden,Eastern Illinois University,IL,45.50
Steve Weatherford,Eastern Illinois University,IL,45.00
Nate Palmer,,IL,43.75
Jimmy Garoppolo,,IL,42.40
Mikel Leshoure,Eastern Illinois University,IL,42.00
Dawuane Smoot,Eastern Illinois University,IL,40.00
Shelby Harris,,IL,39.25
Brandon Jacobs,Southern Illinois University Carbondale,IL,38.67
Jeff Cumberland,Eastern Illinois University,IL,34.83
Joe Morgan,Eastern Illinois University,IL,34.00
Joe Morgan,,IL,34.00
Bryan Cox,,IL,32.00
Justin Hardee,Eastern Illinois University,IL,32.00
Sam Hurd,Northern Illinois University,IL,32.00
Tommylee Lewis,Northern Illinois University,IL,32.00
Larry English,Northern Illinois University,IL,30.75
Deji Karim,Southern Illinois University Carbondale,IL,30.33
Martez Wilson,Eastern Illinois University,IL,30.33
Mike Johnson,Eastern Illinois University,IL,29.50
Mike Johnson,Kansas City Kansas Community College,IL,29.50
Mike Johnson,University of Alabama,IL,29.50
Mike Johnson,,IL,29.50
Olindo Mare,MacMurray College,IL,29.50
Arrelious Benn,Eastern Illinois University,IL,28.25
Jason Williams,,IL,26.75
A.J. Jenkins,Eastern Illinois University,IL,25.00
A.J. Jenkins,,IL,25.00
Jayson DiManche,Southern Illinois University Carbondale,IL,25.00
Michael Hoomanawanui,Eastern Illinois University,IL,25.00
Matt LaCosse,Eastern Illinois University,IL,23.33
B.J. Bello,,IL,21.50
Josh Ferguson,Eastern Illinois University,IL,21.50
Justin Staples,Eastern Illinois University,IL,21.50
MyCole Pruitt,Southern Illinois University Carbondale,IL,21.50
Brit Miller,Eastern Illinois University,IL,11.00
Chad Spann,Northern Illinois University,IL,11.00
Chandler Harnish,Northern Illinois University,IL,11.00
Cody White,,IL,11.00
Jack Cornell,Eastern Illinois University,IL,11.00
Jason Vega,Northeastern Illinois University,IL,11.00
Jerry Brown,Eastern Illinois University,IL,11.00
John Griffin,Northeastern Illinois University,IL,11.00
John Griffin,University of Memphis,IL,11.00
Justin Green,Eastern Illinois University,IL,11.00
Justin Green,,IL,11.00
Ken Bishop,Northern Illinois University,IL,11.00
Kenneth Boatright,Southern Illinois University Carbondale,IL,11.00
Korey Lindsey,Southern Illinois University Carbondale,IL,11.00
Matt Lengel,Northeastern Illinois University,IL,11.00
Michael Buchanan,Eastern Illinois University,IL,11.00
Nate Bussey,Eastern Illinois University,IL,11.00
Nathan Palmer,Northern Illinois University,IL,11.00
Pat Schiller,Northern Illinois University,IL,11.00
Ray Agnew,Southern Illinois University Carbondale,IL,11.00
Ray Agnew,,IL,11.00
Scott Wedige,Northern Illinois University,IL,11.00
Stephen Franklin,Southern Illinois University Carbondale,IL,11.00
Tom Nelson,,IL,11.00
Tracy Wilson,Northern Illinois University,IL,11.00
Drew Brees,Purdue University,IN,98.88
Justin Smith,Indiana State University,IN,95.50
Justin Smith,Missouri Southern State University,IN,95.50
Matt Light,Purdue University,IN,93.00
Ryan Kerrigan,Purdue University,IN,90.88
Rob Ninkovich,Purdue University,IN,90.67
Golden Tate,University of Notre Dame,IN,85.88
Harrison Smith,University of Notre Dame,IN,85.86
Jordan Howard,Indiana State University,IN,85.67
Tevin Coleman,Indiana State University,IN,81.50
Cliff Avril,Purdue University,IN,81.43
Dan Feeney,Indiana State University,IN,81.00
Kawann Short,Purdue University,IN,79.67
Jaylon Smith,University of Notre Dame,IN,79.50
Stephon Tuitt,University of Notre Dame,IN,78.20
Nick Hardwick,Purdue University,IN,76.75
Uche Nwaneri,Purdue University,IN,75.00
Justin Tuck,University of Notre Dame,IN,74.40
Ray Edwards,Purdue University,IN,74.00
Rodger Saffold,Indiana State University,IN,72.25
Bernard Pollard,Purdue University,IN,69.75
Shaun Phillips,Purdue University,IN,69.75
Jeff Faine,University of Notre Dame,IN,69.00
Will Fuller,University of Notre Dame,IN,68.00
Kris Dielman,Indiana State University,IN,66.00
Ricardo Allen,Purdue University,IN,64.25
Abram Elam,University of Notre Dame,IN,63.50
Dustin Keller,Purdue University,IN,63.50
Theo Riddick,University of Notre Dame,IN,63.17
Tracy Porter,Indiana State University,IN,59.50
Tracy Porter,,IN,59.50
Manti Te'o,University of Notre Dame,IN,59.00
Anthony Spencer,Purdue University,IN,58.25
Ryan Harris,University of Notre Dame,IN,57.80
Kevin Pamphile,Purdue University,IN,57.20
Tom Zbikowski,University of Notre Dame,IN,57.00
Mike Neal,Purdue University,IN,56.00
Jason Spriggs,Indiana State University,IN,55.33
Trevor Robinson,University of Notre Dame,IN,52.25
Romeo Okwara,University of Notre Dame,IN,51.67
Dennis Kelly,Purdue University,IN,51.33
Jonathan Newsome,,IN,48.00
Mark LeVoir,University of Notre Dame,IN,48.00
Prince Shembo,University of Notre Dame,IN,48.00
Anthony Fasano,University of Notre Dame,IN,47.57
Darrin Walls,University of Notre Dame,IN,46.60
Derek Landri,University of Notre Dame,IN,46.33
Matthias Farley,University of Notre Dame,IN,45.67
Tyler Eifert,University of Notre Dame,IN,45.67
Chris Watt,University of Notre Dame,IN,45.50
Kyle Orton,Purdue University,IN,45.00
Fred Evans,University of Notre Dame,IN,42.67
Fred Evans,,IN,42.67
Michael Otto,Purdue University,IN,42.67
Sam Young,University of Notre Dame,IN,41.50
Sam Young,,IN,41.50
Ian Williams,University of Notre Dame,IN,41.00
Sergio Brown,University of Notre Dame,IN,39.50
John Carlson,University of Notre Dame,IN,39.33
T.J. Jones,University of Notre Dame,IN,38.75
Isaac Rochell,University of Notre Dame,IN,38.50
Robert Blanton,University of Notre Dame,IN,38.00
Sheldon Day,University of Notre Dame,IN,37.33
David Bruton,University of Notre Dame,IN,36.50
J.J. Jansen,University of Notre Dame,IN,35.38
Eric Olsen,University of Notre Dame,IN,35.00
C.J. Prosise,University of Notre Dame,IN,34.00
James Brewer,Indiana State University,IN,34.00
Jonas Gray,University of Notre Dame,IN,34.00
Ryan Russell,Purdue University,IN,34.00
Tandon Doss,Indiana State University,IN,34.00
Bruce Gaston,Purdue University,IN,32.00
Jordan Roos,Purdue University,IN,32.00
Niko Koutouvides,Purdue University,IN,32.00
Reggie Hodges,,IN,32.00
Zeke Motta,University of Notre Dame,IN,32.00
Marcus Thigpen,Indiana State University,IN,30.75
Jimmy Clausen,University of Notre Dame,IN,30.33
Curtis Painter,Purdue University,IN,29.50
Darius Latham,Indiana State University,IN,29.50
Trevor Laws,University of Notre Dame,IN,29.50
Cody Latimer,Indiana State University,IN,26.80
Josh Johnson,Purdue University,IN,26.80
Josh Johnson,San Diego City College,IN,26.80
Akeem Hunt,Purdue University,IN,25.00
KeiVarae Russell,University of Notre Dame,IN,25.00
Ronald Talley,University of Notre Dame,IN,25.00
Anthony Johnson,,IN,21.50
Armando Allen,University of Notre Dame,IN,21.50
Cody Riggs,University of Notre Dame,IN,21.50
James Onwualu,University of Notre Dame,IN,21.50
Raheem Mostert,Purdue University,IN,20.25
Akwasi Owusu-Ansah,,IN,18.00
Ben Koyack,University of Notre Dame,IN,18.00
Darius Fleming,University of Notre Dame,IN,18.00
Robert Hughes,University of Notre Dame,IN,18.00
Will Yeatman,University of Notre Dame,IN,18.00
Troy Niklas,University of Notre Dame,IN,16.25
Andrew McDonald,Indiana State University,IN,11.00
Arnaz Battle,University of Notre Dame,IN,11.00
Brad Maynard,,IN,11.00
Cierre Wood,University of Notre Dame,IN,11.00
Courtney Roby,Indiana State University,IN,11.00
Dan Fox,University of Notre Dame,IN,11.00
Eric Moore,Indiana State University,IN,11.00
Eric Moore,,IN,11.00
Eric Patterson,,IN,11.00
George Atkinson,University of Notre Dame,IN,11.00
George Atkinson,,IN,11.00
Jacques Reeves,Purdue University,IN,11.00
Jammie Kirlew,Indiana State University,IN,11.00
Jordan Black,University of Notre Dame,IN,11.00
Kapron Lewis-Moore,University of Notre Dame,IN,11.00
Kyle Adams,Purdue University,IN,11.00
Kyle McCarthy,University of Notre Dame,IN,11.00
Louis Nix,University of Notre Dame,IN,11.00
Malcolm Johnson,University of Notre Dame,IN,11.00
Malcolm Johnson,,IN,11.00
Maurice Stovall,University of Notre Dame,IN,11.00
Michael Hunter,Indiana State University,IN,11.00
Nedu Ndukwe,University of Notre Dame,IN,11.00
Nick Mondek,Purdue University,IN,11.00
Ryan Baker,Purdue University,IN,11.00
Sean Baker,,IN,11.00
Stephen Williams,Indiana State University,IN,11.00
Stephen Williams,University of Toledo,IN,11.00
Brady Quinn,University of Notre Dame,IN,0.00
Kyle Brindza,University of Notre Dame,IN,0.00
Jordy Nelson,,KA,88.86
Tyler Lockett,,KA,86.50
Cody Whitehair,,KA,83.67
Terence Newman,,KA,75.71
Darren Sproles,,KA,73.75
Ryan Lilja,,KA,69.50
Jon McGraw,,KA,66.00
Daniel Thomas,,KA,58.00
Bryce Brown,,KA,52.25
B.J. Finney,,KA,51.67
Emmanuel Lamur,,KA,50.67
Rob Jackson,,KA,49.67
Elijah Lee,,KA,49.00
Ben Leber,,KA,48.00
Jordan Willis,,KA,48.00
William Powell,,KA,48.00
Reggie Walker,,KA,38.75
Cornelius Lucas,,KA,36.40
Arthur Brown,,KA,26.75
Jeron Mastrud,,KA,18.00
Zach Diles,,KA,16.25
Brandon Banks,,KA,11.00
Glenn Gronkowski,,KA,11.00
Michael Smith,,KA,11.00
Michael Smith,,KA,11.00
Randall Evans,,KA,11.00
Rock Cartwright,,KA,11.00
Thomas Clayton,,KA,11.00
Alejandro Villanueva,,KS,90.75
Aqib Talib,Kansas City Kansas Community College,KS,83.25
Cary Williams,Washburn University,KS,81.00
Chris Harris,Kansas City Kansas Community College,KS,73.90
Chris Harris,,KS,73.90
Bradley McDougald,Kansas City Kansas Community College,KS,59.17
Michael Wilhoite,Washburn University,KS,57.67
Anthony Collins,Kansas City Kansas Community College,KS,43.75
Josh McNary,,KS,42.75
Darrell Stuckey,Kansas City Kansas Community College,KS,37.67
Dezmon Briscoe,Kansas City Kansas Community College,KS,35.00
Steven Johnson,Kansas City Kansas Community College,KS,34.17
Tanner Purdum,Baker University,KS,32.00
Ben Heeney,Kansas City Kansas Community College,KS,30.33
Brian Folkerts,Washburn University,KS,25.00
Dexter McDonald,Kansas City Kansas Community College,KS,23.33
Collin Mooney,,KS,11.00
Joe Hastings,Washburn University,KS,11.00
Kerry Meier,Kansas City Kansas Community College,KS,11.00
Larry Johnson,Haskell Indian Nations University,KS,11.00
Larry Johnson,,KS,11.00
Moran Norris,Kansas City Kansas Community College,KS,11.00
Toben Opurum,Kansas City Kansas Community College,KS,11.00
Larry Warford,Eastern Kentucky University,KY,87.17
Avery Williamson,Eastern Kentucky University,KY,85.00
Eric Wood,University of Louisville,KY,82.71
Wesley Woodyard,Eastern Kentucky University,KY,82.63
Preston Brown,University of Louisville,KY,82.20
Preston Brown,Vanderbilt University,KY,82.20
Randall Cobb,Eastern Kentucky University,KY,81.50
Yeremiah Bell,,KY,81.00
George Fant,,KY,76.00
Breno Giacomini,University of Louisville,KY,75.29
Steve Johnson,Eastern Kentucky University,KY,74.60
Steve Johnson,,KY,74.60
Elvis Dumervil,University of Louisville,KY,74.57
Corey Peters,Eastern Kentucky University,KY,74.14
Danny Trevathan,Eastern Kentucky University,KY,73.14
William Gay,University of Louisville,KY,72.14
William Gay,,KY,72.14
Kerry Rhodes,University of Louisville,KY,72.00
John Miller,University of Louisville,KY,70.75
John Miller,University of Notre Dame,KY,70.75
John Miller,,KY,70.75
John Miller,,KY,70.75
Bud Dupree,Eastern Kentucky University,KY,70.25
Aaron Jones,,KY,69.00
Aaron Jones,,KY,69.00
Deion Branch,University of Louisville,KY,68.50
Sheldon Rankins,University of Louisville,KY,67.33
Jamon Brown,University of Louisville,KY,67.25
Michael Bush,University of Louisville,KY,65.33
DeVante Parker,University of Louisville,KY,64.75
Za'Darius Smith,Eastern Kentucky University,KY,61.25
Harry Douglas,University of Louisville,KY,60.43
Teddy Bridgewater,University of Louisville,KY,58.25
Bilal Powell,University of Louisville,KY,58.13
Calvin Pryor,University of Louisville,KY,57.50
Taywan Taylor,,KY,57.00
Jacob Tamme,Eastern Kentucky University,KY,51.00
Tyler Higbee,,KY,50.00
Gary Barnidge,University of Louisville,KY,49.40
James Burgess,University of Louisville,KY,49.00
James Burgess,,KY,49.00
Lorenzo Mauldin,University of Louisville,KY,48.00
Jack Doyle,,KY,46.83
Tim Masthay,Eastern Kentucky University,KY,41.60
Amobi Okoye,University of Louisville,KY,40.00
Brandon Dunn,University of Louisville,KY,38.60
David Akers,University of Louisville,KY,38.00
Bobby Rainey,,KY,37.50
Byron Stingily,University of Louisville,KY,37.33
Johnny Patrick,University of Louisville,KY,37.33
Micah Johnson,Eastern Kentucky University,KY,35.00
Garry Williams,Eastern Kentucky University,KY,33.67
Charles Gaines,University of Louisville,KY,32.00
Chris Redman,University of Louisville,KY,32.00
James Sample,University of Louisville,KY,32.00
Josh Harvey-Clemons,University of Louisville,KY,32.00
Quanterus Smith,,KY,32.00
Josh Bellamy,University of Louisville,KY,31.43
Antwaun Molden,,KY,29.50
Antonio Andrews,,KY,29.33
Winston Guy,Eastern Kentucky University,KY,23.60
Alfonso Smith,Eastern Kentucky University,KY,21.50
Andrew Jackson,,KY,21.50
Andrew Jackson,,KY,21.50
Andrew Jackson,,KY,21.50
Matt Simms,University of Louisville,KY,21.50
Deiontrez Mount,University of Louisville,KY,18.00
Greg Scruggs,University of Louisville,KY,18.00
Ricky Lumpkin,Eastern Kentucky University,KY,18.00
Brock Bolen,University of Louisville,KY,11.00
Chandler Burden,Eastern Kentucky University,KY,11.00
Cole Hikutini,University of Louisville,KY,11.00
Colin Holba,University of Louisville,KY,11.00
Derek Hardman,,KY,11.00
Gerald Christian,University of Louisville,KY,11.00
Jason Spitz,University of Louisville,KY,11.00
John Conner,Eastern Kentucky University,KY,11.00
Jonathan Dowling,,KY,11.00
Jordan Gay,Centre College,KY,11.00
Myron Pryor,Eastern Kentucky University,KY,11.00
Prince Charles Iworah,,KY,11.00
Patrick Peterson,,LA,95.75
Andrew Whitworth,,LA,95.13
Todd McClure,,LA,92.00
Stephen Peterman,,LA,91.00
Jarvis Landry,,LA,88.60
Trai Turner,,LA,87.80
Nate Livings,,LA,86.00
Ryan Clark,,LA,85.50
Bradie James,,LA,84.00
Jordan Mills,Louisiana Tech University,LA,81.67
Jason Hatcher,,LA,81.00
Deion Jones,,LA,80.00
Danielle Hunter,,LA,79.25
Kwon Alexander,,LA,78.50
Perry Riley,,LA,75.67
Tyrann Mathieu,,LA,75.00
Tyson Jackson,,LA,74.67
Brandon LaFell,,LA,74.50
Bennie Logan,,LA,73.83
Eric Reid,,LA,73.83
Kendell Beckwith,,LA,73.00
Lardarius Webb,,LA,72.71
Tramon Williams,Louisiana Tech University,LA,72.63
Davon Godchaux,,LA,72.00
Ike Taylor,,LA,71.25
La'el Collins,,LA,69.00
Robert Alford,,LA,68.50
LaRon Landry,,LA,68.25
Dwayne Bowe,,LA,67.40
Joe Barksdale,,LA,67.13
Devery Henderson,,LA,66.00
Melvin White,,LA,66.00
Xavier Woods,Louisiana Tech University,LA,66.00
Barkevious Mingo,,LA,64.17
Glenn Dorsey,,LA,64.00
Alfred Blue,,LA,63.80
Corey Webster,,LA,63.33
Justin Ellis,Louisiana Tech University,LA,63.00
Duke Riley,,LA,62.50
Morris Claiborne,,LA,62.29
Chester Rogers,,LA,61.33
Kelvin Sheppard,,LA,60.75
Ethan Pocic,,LA,60.50
Demetress Bell,,LA,59.00
Howard Green,,LA,59.00
Joseph Addai,,LA,59.00
Kevin Minter,,LA,58.33
Ricky Jean-Francois,,LA,58.25
Jeremy Hill,,LA,58.00
Spencer Ware,,LA,57.75
Delvin Breaux,,LA,57.00
Kenneth Dixon,Louisiana Tech University,LA,53.50
Trent Taylor,Louisiana Tech University,LA,53.50
Vadal Alexander,,LA,53.50
Early Doucet,,LA,52.50
Rashard Robinson,,LA,52.33
Al Woods,,LA,52.00
John Simon,Louisiana Tech University,LA,51.67
John Simon,,LA,51.67
Stevan Ridley,,LA,50.88
Marcus Spears,,LA,50.00
Marcus Spears,,LA,50.00
Ryan Allen,Louisiana Tech University,LA,49.83
Ladarius Green,,LA,48.60
Cairo Santos,Tulane University,LA,48.20
Ryan Grant,Tulane University,LA,48.14
Ryan Grant,University of Notre Dame,LA,48.14
Deon Simon,,LA,48.00
Brad Wing,,LA,46.75
Chris Thompson,,LA,46.29
Chris Thompson,,LA,46.29
Jeremy Lane,,LA,45.67
Josh Allen,,LA,45.00
Kentrell Brice,Louisiana Tech University,LA,43.33
Quinton Patton,Louisiana Tech University,LA,40.25
Jalen Collins,,LA,40.00
Mewelde Moore,Tulane University,LA,40.00
Reid Ferguson,,LA,40.00
Danny McCray,,LA,38.80
Brandon Stokley,,LA,38.67
Craig Steltz,,LA,37.33
Drake Nevis,,LA,37.33
Matt Flynn,,LA,35.75
Orleans Darkwa,Tulane University,LA,35.25
Ron Brooks,,LA,35.20
D'Anthony Batiste,,LA,35.00
Larry Donnell,,LA,35.00
Tanzel Smart,Tulane University,LA,35.00
Dezman Moses,Tulane University,LA,33.50
Aaron Morgan,,LA,32.00
Adairius Barnes,Louisiana Tech University,LA,32.00
Brandon Taylor,,LA,32.00
Chris Hawkins,,LA,32.00
Houston Bates,Louisiana Tech University,LA,32.00
Jacob Hester,,LA,32.00
Jake Delhomme,,LA,32.00
Jerald Hawkins,,LA,32.00
Kevin Faulk,,LA,32.00
Lamin Barrow,,LA,32.00
Lewis Neal,,LA,32.00
Myles White,Louisiana Tech University,LA,32.00
Travis Daniels,,LA,32.00
Vernon Butler,Louisiana Tech University,LA,32.00
Tharold Simon,,LA,30.33
Keiland Williams,,LA,29.50
Terrence McGee,,LA,29.50
Trindon Holliday,,LA,29.50
Zach Mettenberger,,LA,29.50
Russell Shepard,,LA,28.67
Bill Bentley,,LA,25.50
Michael Adams,,LA,25.00
Michael Adams,,LA,25.00
Craig Loston,,LA,21.50
IK Enemkpali,Louisiana Tech University,LA,21.50
Jacob Cutrera,,LA,21.50
Josh Victorian,Louisiana Tech University,LA,21.50
Tashawn Bower,,LA,21.50
Luke McCown,Louisiana Tech University,LA,19.40
Christian Ringo,,LA,18.00
D'Anthony Smith,Louisiana Tech University,LA,18.00
Harlan Miller,,LA,18.00
Keith Smith,,LA,16.25
Keith Smith,,LA,16.25
Lavar Edwards,,LA,15.20
Alonzo Harris,,LA,11.00
Bobby Felder,,LA,11.00
C.C. Brown,,LA,11.00
Curtis Taylor,,LA,11.00
Deangelo Peterson,,LA,11.00
Dillon Gordon,,LA,11.00
Hall Davis,,LA,11.00
Je'Ron Hamm,,LA,11.00
Keavon Milton,,LA,11.00
Kendrick Adams,,LA,11.00
Lamar Louis,,LA,11.00
Lazarius Levingston,,LA,11.00
Lorenzo Doss,Tulane University,LA,11.00
Matt Broha,Louisiana Tech University,LA,11.00
Michael Clayton,,LA,11.00
Nic Jacobs,,LA,11.00
Quinn Johnson,,LA,11.00
Richard Murphy,,LA,11.00
Taurean Nixon,Tulane University,LA,11.00
Terrence Magee,,LA,11.00
Trey Caldwell,,LA,11.00
Troy Kropog,Tulane University,LA,11.00
Vontarrius Dora,Louisiana Tech University,LA,11.00
Matt Ryan,,MA,98.50
Luke Kuechly,,MA,97.43
Ryan Fitzpatrick,Harvard University,MA,86.50
Marc Colombo,,MA,85.00
Matt Birk,Harvard University,MA,85.00
Anthony Castonzo,,MA,83.88
Gosder Cherilus,,MA,82.83
B.J. Raji,,MA,82.00
Victor Cruz,Massachusetts College of Liberal Arts,MA,79.60
Matt Milano,,MA,79.50
Desmond Bryant,Harvard University,MA,76.80
Chris Snee,,MA,72.67
Mathias Kiwanuka,,MA,72.50
Nick Easton,Harvard University,MA,72.00
Tajae Sharpe,Massachusetts College of Liberal Arts,MA,66.00
Jo-Lonn Dunbar,,MA,64.40
Jeremy Trueblood,,MA,63.33
John Wetzel,,MA,62.33
James Ihedigbo,Massachusetts College of Liberal Arts,MA,62.17
Mackenzy Bernadeau,,MA,60.00
Andy Gallik,,MA,59.00
Dan Koppen,,MA,58.50
Antonio Garay,,MA,52.50
Will Blackmon,,MA,51.40
Vlad Ducasse,Massachusetts College of Liberal Arts,MA,49.88
Cameron Brate,Harvard University,MA,49.20
Mark Herzlich,,MA,47.50
Elijah Wilkinson,Massachusetts College of Liberal Arts,MA,45.50
Kyle Juszczyk,Harvard University,MA,45.50
Alex Albright,,MA,40.00
Andre Williams,,MA,39.25
Andy Studebaker,Wheaton College,MA,36.40
Ryan Quigley,,MA,34.20
Anthony Fabiano,Harvard University,MA,32.00
Emmett Cleary,,MA,32.00
Josh Samuda,Massachusetts College of Liberal Arts,MA,32.00
Kevin Pierre-Louis,,MA,32.00
Matt Tennant,,MA,32.00
Mike Leach,,MA,32.00
Tim Bulman,,MA,32.00
Kasim Edebali,,MA,31.00
Rob Francois,,MA,30.33
Brian Mihalik,,MA,29.50
Jeremy Cain,Massachusetts College of Liberal Arts,MA,26.75
Adam Redmond,Harvard University,MA,21.50
Chandler Fenner,College of the Holy Cross,MA,21.50
Tyler Ott,Harvard University,MA,21.50
Al Louis-Jean,,MA,11.00
Chris Pantale,,MA,11.00
Cole Toner,Harvard University,MA,11.00
Damik Scafe,,MA,11.00
Donnie Fletcher,,MA,11.00
Emil Igwenagu,Massachusetts College of Liberal Arts,MA,11.00
Ian Silberman,,MA,11.00
Ifeanyi Momah,,MA,11.00
Jeremy Horne,Massachusetts College of Liberal Arts,MA,11.00
Julian Talley,Massachusetts College of Liberal Arts,MA,11.00
Kalif Raymond,College of the Holy Cross,MA,11.00
Michael Cox,Massachusetts College of Liberal Arts,MA,11.00
Ricky Brown,,MA,11.00
Tyler Murphy,,MA,11.00
Nate Freese,,MA,0.00
Yannick Ngakoue,College of Southern Maryland,MD,91.67
D'Qwell Jackson,College of Southern Maryland,MD,90.83
Stefon Diggs,College of Southern Maryland,MD,89.00
Randy Starks,College of Southern Maryland,MD,87.20
Jermon Bushrod,Towson University,MD,80.13
Sean Davis,College of Southern Maryland,MD,74.67
E.J. Henderson,College of Southern Maryland,MD,73.00
Torrey Smith,College of Southern Maryland,MD,72.50
Josh Wilson,College of Southern Maryland,MD,65.40
Erin Henderson,College of Southern Maryland,MD,61.60
Madieu Williams,Towson University,MD,60.50
Nolan Carroll,College of Southern Maryland,MD,56.57
Moise Fokou,College of Southern Maryland,MD,54.25
Lance Ball,College of Southern Maryland,MD,53.50
Nick Novak,College of Southern Maryland,MD,53.14
Phil Costa,College of Southern Maryland,MD,50.67
Jordan Dangerfield,Towson University,MD,48.00
Stephon Heyer,College of Southern Maryland,MD,48.00
Edwin Williams,College of Southern Maryland,MD,45.50
Eric Wilson,College of Southern Maryland,MD,45.50
Eric Wilson,University of Cincinnati,MD,45.50
Darrius Heyward-Bey,College of Southern Maryland,MD,44.88
Quinton Jefferson,College of Southern Maryland,MD,40.67
Shawne Merriman,College of Southern Maryland,MD,40.00
Joe Vellano,College of Southern Maryland,MD,38.67
Jeromy Miles,,MD,36.00
Darius Kilgo,College of Southern Maryland,MD,32.00
Joe Cardona,,MD,32.00
Adam Podlesh,College of Southern Maryland,MD,30.33
Kevin Barnes,College of Southern Maryland,MD,29.50
Jon Condo,College of Southern Maryland,MD,29.38
Visanthe Shiancoe,,MD,29.33
Ryan Delaire,Towson University,MD,25.00
Shaun Hill,College of Southern Maryland,MD,23.67
Adrian Moten,College of Southern Maryland,MD,21.50
Dexter McDougle,College of Southern Maryland,MD,21.50
Tye Smith,Towson University,MD,21.50
Da'Rel Scott,College of Southern Maryland,MD,18.00
A.J. Hendy,College of Southern Maryland,MD,11.00
Bruce Campbell,College of Southern Maryland,MD,11.00
Dan Gronkowski,College of Southern Maryland,MD,11.00
Davin Meggett,College of Southern Maryland,MD,11.00
Domonique Foxworth,College of Southern Maryland,MD,11.00
Kevin Dorsey,College of Southern Maryland,MD,11.00
LaQuan Williams,College of Southern Maryland,MD,11.00
Lamont Bryant,,MD,11.00
Trey Edmunds,College of Southern Maryland,MD,11.00
Jovan Belcher,University of Maine at Orono,ME,75.50
Mike DeVito,University of Maine at Orono,ME,60.20
Jerron McMillian,University of Maine at Orono,ME,32.00
Patrick Ricard,University of Maine at Orono,ME,21.50
Trevor Bates,University of Maine at Orono,ME,21.50
Montell Owens,University of Maine at Orono,ME,20.25
Justin Perillo,University of Maine at Orono,ME,18.00
Matthew Mulligan,University of Maine at Orono,ME,14.50
Stephen Cooper,University of Maine at Orono,ME,11.00
Antonio Brown,West Virginia State University,MI,95.13
Joe Staley,Central Michigan University,MI,92.25
Mike Evans,Central Michigan University,MI,92.00
Mike Evans,,MI,92.00
Mike Evans,,MI,92.00
Le'Veon Bell,,MI,91.80
Eric Fisher,Central Michigan University,MI,89.17
Jeff Backus,Central Michigan University,MI,89.00
T.J. Lang,,MI,88.50
Domata Peko,,MI,87.75
Taylor Lewan,Central Michigan University,MI,86.00
J.J. Watt,Central Michigan University,MI,85.75
Graham Glasgow,Central Michigan University,MI,85.67
Jack Conklin,,MI,85.67
James Hall,Central Michigan University,MI,85.00
James Hall,,MI,85.00
Ben Gedeon,Central Michigan University,MI,81.00
Brandon Carr,,MI,79.75
Alan Branch,Central Michigan University,MI,79.00
Steve Hutchinson,Central Michigan University,MI,79.00
Michael Schofield,Central Michigan University,MI,78.00
Jared Veldheer,Hillsdale College,MI,77.63
Patrick Omameh,Central Michigan University,MI,73.80
Frank Clark,Central Michigan University,MI,73.75
Devin Funchess,Central Michigan University,MI,73.50
Jake Ryan,Central Michigan University,MI,72.67
Cullen Jenkins,Central Michigan University,MI,72.50
Steve Smith,Central Michigan University,MI,72.50
Steve Smith,College of Eastern Utah,MI,72.50
Steve Smith,Oregon State University,MI,72.50
Steve Smith,,MI,72.50
Steve Smith,,MI,72.50
LaMarr Woodley,Central Michigan University,MI,72.20
Kirk Cousins,,MI,72.00
Greg Jennings,,MI,71.00
Matt Judon,,MI,70.67
Louis Delmas,,MI,69.25
Joe Berger,,MI,68.57
David Baas,Central Michigan University,MI,68.00
Todd Herremans,,MI,67.60
Joique Bell,,MI,66.80
Kyle Cook,,MI,66.67
Larry Foote,Central Michigan University,MI,66.25
Kevin Walter,,MI,66.00
Joe Reitz,,MI,65.83
Jason Babin,,MI,65.00
Jason Jones,,MI,64.83
Chris Baker,,MI,64.50
Chris Baker,,MI,64.50
William Gholston,,MI,64.33
Brandon Graham,Central Michigan University,MI,63.63
Kevin Vickerson,,MI,63.50
Taylor Moton,,MI,63.50
Jahleel Addae,Central Michigan University,MI,62.17
Jason Avant,Central Michigan University,MI,61.80
Trae Waynes,,MI,61.00
Eric Smith,,MI,60.50
Eric Smith,,MI,60.50
Eric Smith,,MI,60.50
Montae Nicholson,,MI,59.00
Mario Manningham,Central Michigan University,MI,57.00
Dan Skuta,,MI,56.67
Leon Hall,Central Michigan University,MI,56.25
Jeff Heath,,MI,53.83
Jourdan Lewis,Central Michigan University,MI,53.50
Tim Lelito,,MI,53.00
Tom Johnson,Central Michigan University,MI,53.00
Tom Johnson,University of Southern Mississippi,MI,53.00
Tony Scheffler,,MI,52.33
Brandon Fields,,MI,51.40
Thomas Rawls,Central Michigan University,MI,50.75
Frank Zombo,Central Michigan University,MI,50.63
Stevie Brown,Central Michigan University,MI,49.67
